prodcodeid	dmdid	bnfcode	readcode	termfromemis	dmdproductdescription	bnfname	productname	readcode_desc	dmdlevel	vpid	atc	formulation	routeofadministration	drugsubstancename	substancestrength	category
10211941000033118	28789211000001106	1001030AAAAAAAA	NA	apremilast 30mg tablets	apremilast 30mg tablets	apremilast 30mg tablets	apremilast 30mg tablets	NA	VMP	28789211000001106	L04AA32	tablet	oral	apremilast	30.000mg	pde4i
10212041000033112	28770611000001108	1001030AABBAAAA	NA	otezla 30mg tablets (amgen ltd)	otezla 30mg tablets (amgen ltd)	otezla 30mg tablets	otezla 30mg tablets	NA	AMP	28789211000001106	L04AA32	tablet	oral	apremilast	30.000mg	pde4i
10212141000033111	28808411000001103	0603020T0AABKBK	NA	prednisolone 10mg tablets	prednisolone 10mg tablets	prednisolone 10mg tablets	prednisolone 10mg tablets	NA	VMP	28808411000001103	H02AB06	tablet	oral	prednisolone	10.000mg	ocs
10212341000033114	28808711000001109	0603020T0AAAXAX	NA	prednisolone 20mg tablets	prednisolone 20mg tablets	prednisolone 20mg tablets	prednisolone 20mg tablets	NA	VMP	28808711000001109	H02AB06	tablet	oral	prednisolone	20.000mg	ocs
10212441000033115	28798211000001102	0603020T0BLAAAB	NA	pevanti 2.5mg tablets (advanz pharma)	pevanti 2.5mg tablets (advanz pharma)	pevanti 2.5mg tablets	pevanti 2.5mg tablets	NA	AMP	28808611000001100	H02AB06	tablet	oral	prednisolone	2.500mg	ocs
10212541000033119	28799011000001102	0603020T0BLABAC	NA	pevanti 5mg tablets (advanz pharma)	pevanti 5mg tablets (advanz pharma)	pevanti 5mg tablets	pevanti 5mg tablets	NA	AMP	325427002	H02AB06	tablet	oral	prednisolone	5.000mg	ocs
10212641000033118	28799311000001104	0603020T0BLACBK	NA	pevanti 10mg tablets (advanz pharma)	pevanti 10mg tablets (advanz pharma)	pevanti 10mg tablets	pevanti 10mg tablets	NA	AMP	28808411000001103	H02AB06	tablet	oral	prednisolone	10.000mg	ocs
10212741000033110	28799611000001109	0603020T0BLADAX	NA	pevanti 20mg tablets (advanz pharma)	pevanti 20mg tablets (advanz pharma)	pevanti 20mg tablets	pevanti 20mg tablets	NA	AMP	28808711000001109	H02AB06	tablet	oral	prednisolone	20.000mg	ocs
10212941000033113	28799811000001108	0603020T0BLAEAR	NA	pevanti 25mg tablets (advanz pharma)	pevanti 25mg tablets (advanz pharma)	pevanti 25mg tablets	pevanti 25mg tablets	NA	AMP	325450008	H02AB06	tablet	oral	prednisolone	25.000mg	ocs
10220241000033110	28922411000001103	0501120X0BCACAA	NA	evoxil 500mg tablets (kent pharma (uk) ltd)	evoxil 500mg tablets (kent pharma (uk) ltd)	evoxil 500mg tablets	evoxil 500mg tablets	NA	AMP	324634001	J01MA12	tablet	oral	levofloxacin hemihydrate	500.000mg	abx
1022341000033117	3245011000001103	0301011E0BCABAC	NA	oxis 12 turbohaler (astrazeneca uk ltd)	oxis 12 turbohaler (astrazeneca uk ltd)	oxis 12 turbohaler	oxis 12 turbohaler	NA	AMP	39113011000001109	R03AC13	inhalation powder	inhalation	formoterol fumarate dihydrate	12.000microgram/1.000dose	laba
1022441000033111	3243511000001107	0301011E0BCAAAB	NA	oxis 6 turbohaler (astrazeneca uk ltd)	oxis 6 turbohaler (astrazeneca uk ltd)	oxis 6 turbohaler	oxis 6 turbohaler	NA	AMP	39112911000001101	R03AC13	inhalation powder	inhalation	formoterol fumarate dihydrate	6.000microgram/1.000dose	laba
10266841000033117	29424511000001109	0603020T0AABLBL	NA	prednisolone 5mg/5ml oral solution unit dose	prednisolone 5mg/5ml oral solution unit dose	prednisolone 5mg/5ml oral solution unit dose	prednisolone 5mg/5ml oral solution unit dose	NA	VMP	29424511000001109	H02AB06	oral solution	oral	prednisolone	1.000mg/1.000ml	ocs
10387141000033115	29782111000001107	0302000N0BFAABF	NA	sirdupla 25micrograms/dose / 125micrograms/dose inhaler (mylan)	sirdupla 25micrograms/dose / 125micrograms/dose inhaler (viatris uk healthcare ltd)	sirdupla 25micrograms/dose / 125micrograms/dose inhaler	sirdupla 25micrograms/dose / 125micrograms/dose inhaler	NA	AMP	39111111000001109	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	125.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
10387241000033110	29782511000001103	0302000N0BFABBG	NA	sirdupla 25micrograms/dose / 250micrograms/dose inhaler (mylan)	sirdupla 25micrograms/dose / 250micrograms/dose inhaler (viatris uk healthcare ltd)	sirdupla 25micrograms/dose / 250micrograms/dose inhaler	sirdupla 25micrograms/dose / 250micrograms/dose inhaler	NA	AMP	39111311000001106	R03AK06	pressurised inhalation	inhalation	fluticasone propionate/ salmeterol xinafoate	250.000microgram/1.000dose + 25.000microgram/1.000dose	laba-ics
10494341000033117	29904211000001102	0603020T0AABMBM	NA	prednisolone 10mg/ml oral solution sugar free	prednisolone 10mg/ml oral solution sugar free	prednisolone 10mg/ml oral solution sugar free	prednisolone 10mg/ml oral solution sugar free	NA	VMP	29904211000001102	H02AB06	oral solution	oral	prednisolone	10.000mg/1.000ml	ocs
