medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	term	incident	prevalent
104872017	63088003	104872017	H330000	extrinsic asthma without status asthmaticus	1	1
1118291000000110	443117005	2839948011	38DL.00	asthma control test score	0	1
1139011000000112	763077003	3637798014	38DT.00	asthma control questionnaire score	0	1
1139051000000111	763695004	3643315013	38DV.00	mini aqlq (asthma quality of life questionnaire) score	0	1
1139131000000117	698509001	2974554010	9NNX.00	under care of asthma specialist nurse	0	1
1176461000000114	527171000000103	1176461000000114	8CMA000	patient has a written asthma personal action plan	0	1
1176501000000114	527191000000104	1176501000000114	679J000	health education - asthma self management	0	1
1176541000000112	527211000000100	1176541000000112	679J100	health education - structured asthma discussion	0	1
1208954011	370202007	1208954011	663t.00	asthma causes daytime symptoms 1 to 2 times per month	0	1
1208955012	370203002	1208955012	663u.00	asthma causes daytime symptoms 1 to 2 times per week	0	1
1208956013	370204008	1208956013	663v.00	asthma causes daytime symptoms most days	0	1
1208957016	370205009	1208957016	663r.00	asthma causes night symptoms 1 to 2 times per month	0	1
1208958014	370206005	1208958014	663x.00	asthma limits walking on the flat	0	1
1208959018	370207001	1208959018	663w.00	asthma limits walking up hills or stairs	0	1
1208960011	370208006	1208960011	663s.00	asthma never causes daytime symptoms	0	1
1208962015	366874008	490425015	663y.00	number of asthma exacerbations in past year	0	1
1208969012	370218001	1208969012	663V100	mild asthma	1	1
1208970013	370219009	1208970013	663V200	moderate asthma	1	1
1208971012	370220003	1208971012	663V000	occasional asthma	1	1
1208972017	370221004	1208972017	663V300	severe asthma	1	1
1208976019	370225008	1208976019	663p.00	asthma treatment compliance unsatisfactory	0	1
1208977011	370226009	1208977011	663n.00	asthma treatment compliance satisfactory	0	1
1212342016	373899003	1212342016	663q.00	asthma daytime symptoms	0	1
145961000006117	708090002	3033029011	H33z011	acute severe exacerbation of asthma	1	1
1483199016	389145006	1483199016	H330.11	allergic asthma	1	1
1484905010	390872009	1484905010	66Y5.00	change in asthma management plan	0	1
1484910014	390877003	1484910014	66Y9.00	step up change in asthma management plan	0	1
1484911013	390878008	1484911013	66YA.00	step down change in asthma management plan	0	1
1484953014	390921001	1484953014	66YC.00	absent from work or school due to asthma	0	1
1488421017	394700004	1488421017	66YJ.00	asthma annual review	0	1
1488422012	394701000	1488422012	66YK.00	asthma follow-up	0	1
1488436019	394720003	1488436019	8B3j.00	asthma medication review	0	1
1488722011	395022009	1488722011	66YP.00	asthma night-time symptoms	0	1
149741000006116	23315001	39131015	H35y600	sequoiosis (red-cedar asthma)	1	1
151338014	1086701000000102	2722231000000112	H330100	life threatening acute exacerbation of allergic asthma	1	1
1722421000000110	771901000000100	1722421000000110	66Yq.00	asthma causes night time symptoms 1 to 2 times per week	0	1
1722501000000119	771941000000102	1722501000000119	66Yr.00	asthma causes symptoms most nights	0	1
1722581000000112	771981000000105	1722581000000112	663P000	asthma limits activities 1 to 2 times per month	0	1
1722651000000119	772011000000107	1722651000000119	663P100	asthma limits activities 1 to 2 times per week	0	1
1722731000000116	772051000000106	1722731000000116	663P200	asthma limits activities most days	0	1
1739131000000111	340891000000106	1739131000000111	178A.00	asthma trigger - airborne dust	1	1
1739141000000119	340901000000107	1739141000000119	178B.00	asthma trigger - exercise	1	1
1739151000000116	340911000000109	1739151000000116	1781.00	asthma trigger - pollen	1	1
1739161000000118	340921000000103	1739161000000118	1782.00	asthma trigger - tobacco smoke	1	1
1739171000000113	340931000000101	1739171000000113	1783.00	asthma trigger - warm air	1	1
1739871000006114	527231000000108	1176581000000116	679J200	health education - structured patient focused asthma discussion	0	1
1753401000006117	754061000000100	1658781000000113	66Yp.00	asthma review using royal college of physicians three questions	0	1
1766051000006114	448003001	2900370011	388t000	royal college of physicians asthma assessment three questions score	0	1
1768981000000110	473391009	2956621015	66Ys.00	asthma never causes night symptoms	0	1
1780378019	401182001	1780378019	66YQ.00	asthma monitoring by nurse	0	1
1780379010	401183006	1780379010	66YR.00	asthma monitoring by doctor	0	1
1780388018	401193004	1780388018	1O2..00	asthma confirmed	1	1
1811901000006116	811151000000105	2116171000000118	66Yu.00	number of days absent from school due to asthma in past 6 months	0	1
2115631000000117	810901000000102	2115631000000117	661N100	asthma self-management plan review	0	1
2117771000000117	811921000000103	2117771000000117	661M100	asthma self-management plan agreed	0	1
21390015	12428000	21390015	H331000	intrinsic asthma without status asthmaticus	1	1
216186011	708373002	3034176014	663m.00	emergency asthma patient visit since last encounter	0	1
2240591000000119	866881000000101	2240591000000119	H335.00	chronic asthma with fixed airflow obstruction	1	1
2474332015	736056000	3516216012	8CR0.00	asthma clinical management plan	0	1
264540018	170631002	264540018	663N.00	asthma disturbing sleep	0	1
264541019	170632009	264541019	663N000	asthma causing night waking	0	1
264542014	170633004	264542014	663N100	asthma disturbs sleep weekly	0	1
264543016	170634005	264543016	663N200	asthma disturbs sleep frequently	0	1
264545011	170636007	264545011	663O000	asthma never disturbs sleep	0	1
264546012	170637003	264546012	663P.00	asthma limiting activities	0	1
264550017	406162001	2157868010	663U.00	asthma management	0	1
264551018	170642006	264551018	663V.00	asthma severity	0	1
264565016	708358003	3033971010	663d.00	emergency asthma admission since last encounter	0	1
264566015	170655007	264566015	663e.00	asthma restricts exercise	0	1
264567012	170656008	264567012	663e000	asthma sometimes restricts exercise	0	1
264568019	170657004	264568019	663e100	asthma severely restricts exercise	0	1
264569010	170658009	264569010	663f.00	asthma never restricts exercise	0	1
282489019	182727003	282489019	8794.00	asthma control step 1	0	1
282490011	182728008	282490011	8795.00	asthma control step 2	0	1
282491010	182729000	282491010	8796.00	asthma control step 3	0	1
282492015	182730005	282492015	8797.00	asthma control step 4	0	1
282493013	182731009	282493013	8798.00	asthma control step 5	0	1
283550015	183478001	3082895019	8H2P.00	emergency hospital admission for asthma	1	1
285727014	185728001	285727014	9OJ1.00	attends asthma monitoring	0	1
301450011	195949008	301450011	H312000	chronic asthmatic bronchitis	0	1
301480018	195967001	301480018	H33..11	bronchial asthma	1	1
301485011	195967001	301485011	H33..00	asthma	1	1
301499010	424643009	2648327010	H330z00	extrinsic asthma	1	1
301508013	266361008	396114013	H331z00	intrinsic asthma nos	1	1
301511014	195967001	301485011	H33z.00	asthma unspecified	1	1
305611000000115	201051000000101	636211000000110	1786.00	asthma trigger: animals	1	1
338238011	225057002	338238011	H334.00	brittle asthma	1	1
350148014	233679003	350148014	H331.11	late onset asthma	1	1
350149018	233679003	350148014	H33z200	late-onset asthma	1	1
350151019	708093000	3083642013	H330111	acute exacerbation of allergic asthma	1	1
350152014	389145006	1483199016	H33zz12	allergic asthma nec	1	1
