medcodeid	medcode	snomedctconceptid	snomedctdescriptionid	readcode	term	incident	prevalent
NA	NA	233674008	NA	NA	pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder)	1	1
NA	104117	NA	NA	661M300	copd self-management plan agreed	0	1
NA	104169	NA	NA	661N300	copd self-management plan review	0	1
NA	4084	NA	NA	663K.00	airways obstructn irreversible	1	1
NA	18501	NA	NA	66YI.00	copd self-management plan given	0	1
NA	28743	NA	NA	66Yf.00	number of copd exacerbations in past year	0	1
NA	42313	NA	NA	679V.00	health education - chronic obstructive pulmonary disease	1	1
NA	45777	NA	NA	8CR1.00	chronic obstructive pulmonary disease clini management plan	0	1
NA	3480	NA	NA	H30z.00	bronchitis nos	1	1
NA	61118	NA	NA	H310z00	simple chronic bronchitis nos	1	1
NA	11150	NA	NA	H311.00	mucopurulent chronic bronchitis	1	1
NA	61513	NA	NA	H311z00	mucopurulent chronic bronchitis nos	1	1
NA	33450	NA	NA	H32z.00	emphysema nos	1	1
NA	109958	NA	NA	H3B..00	asthma-chronic obstructive pulmonary disease overlap syndrom	1	1
NA	21061	NA	NA	H3y0.00	chronic obstruct pulmonary dis with acute lower resp infectn	1	1
105519017	3243	63480004	105519017	H31..00	chronic bronchitis	1	1
113497011	10980	68328006	113497011	H322.00	centrilobular emphysema	1	1
1222334016	67040	13645005	475431013	H3y..11	other specified chronic obstructive pulmonary disease	1	1
1222335015	37247	13645005	475431013	H3z..11	chronic obstructive pulmonary disease nos	1	1
1484924013	9520	390891009	1484924013	66YB.00	chronic obstructive pulmonary disease monitoring	0	1
1484971019	37371	390941006	1484971019	66YD.00	chronic obstructive pulmonary disease monitoring due	0	1
1488423019	18621	394702007	1488423019	66YL.00	chronic obstructive pulmonary disease follow-up	0	1
1488424013	11287	394703002	1488424013	66YM.00	chronic obstructive pulmonary disease annual review	0	1
1494601017	42624	394702007	1494601017	66YL.12	coad follow-up	0	1
1683181000000112	102685	760601000000107	1683181000000112	66YB000	chronic obstructive pulmonary disease 3 monthly review	0	1
1683221000000119	103007	760621000000103	1683221000000119	66YB100	chronic obstructive pulmonary disease 6 monthly review	0	1
1771201000006116	NA	1771201000006100	1771201000006116	NA	chronic obstructive pulmonary disease multidisciplinary review	0	1
1780380013	26018	401184000	1780380013	66YS.00	chronic obstructive pulmonary disease monitoring by nurse	0	1
1780381012	45998	401185004	1780381012	66YT.00	chronic obstructive pulmonary disease monitoring by doctor	0	1
1813871000006117	NA	826111000000109	2149041000000110	9NgP.00	on chronic obstructive pulmonary disease supprtv cre pathway	1	1
1813881000006119	NA	826111000000109	2155811000000119	9NgP.11	on copd (chr obstruc pulmonary disease) supportv cre pathway	1	1
1823851000006119	NA	1823851000006103	1823851000006119	NA	chronic obstructive pulmonary disease confirmed	1	1
1856491000006119	NA	1856491000006103	1856491000006119	NA	chronic obstructive pulmonary disease monitoring in primary care	0	1
1856501000006110	NA	1856501000006106	1856501000006110	NA	chronic obstructive pulmonary disease monitoring secondary care	0	1
1856581000006118	NA	1856581000006102	1856581000006118	NA	chronic obstructive pulmonary disease monitoring default	0	1
1856591000006115	NA	1856591000006104	1856591000006115	NA	chronic obstructive pulmonary disease follow-up assessment	0	1
1882371000006118	NA	1882371000006102	1882371000006118	NA	shared care chronic obstructive pulmonary disease monitoring	0	1
189761000000117	28755	716241000000106	1568801000000112	9Oi0.00	chronic obstructive pulmonary disease monitoring 1st letter	0	1
