medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	term	incident	prevalent	broad_ipf	narrow_ipf	treatment_ild	exposure_ild	autoimmune_ild	other
311291000006119	73017001	121280013	BBU6.00	[m]lymphangiomyomatosis	1	1	0	0	0	0	0	1
907501000006111	907501000006107	907501000006111	NA	[rfc] pneumoconiosis	1	1	0	0	0	1	0	0
909731000006117	909731000006101	909731000006117	NA	[rfc] pulmonary fibrosis	1	1	1	0	0	0	0	0
301841015	205237003	314740018	Hyu4300	[x]hypersensitivity pneumonitis due to other organic dusts	1	1	0	0	0	1	0	0
301852014	233703007	350185018	Hyu5000	[x]other interstitial pulmonary diseases with fibrosis	1	1	0	0	0	0	0	1
413231000006111	233703007	350185018	Hyu5.00	[x]other resp diseases principally affecting interstitium	1	1	0	0	0	0	0	1
301853016	233703007	350185018	Hyu5100	[x]other specified interstitial pulmonary diseases	1	1	0	0	0	0	0	1
301838012	805002	2408015	Hyu4000	[x]pneumoconiosis due to other dust containing silica	1	1	0	0	0	1	0	0
301839016	40122008	66836019	Hyu4100	[x]pneumoconiosis due to other specified inorganic dusts	1	1	0	0	0	1	0	0
301845012	205237003	314740018	Hyu4700	[x]pneumonitis due to inhalation of other solids and liquids	1	1	0	0	0	0	0	1
424981000006114	239793008	359293019	Nyu1000	[x]rheumatoid arthritis+involvement/other organs or systems	1	1	0	0	0	0	1	0
4782101000006110	196052005	3035530012	NA	acute drug induced ild	1	1	0	0	1	0	0	0
4782101000006118	196052005	3035530012	NA	acute drug induced interstitial lung disorder	1	1	0	0	1	0	0	0
4782081000006114	196052005	3037082015	NA	acute drug-induced interstitial lung disorder	1	1	0	0	1	0	0	0
301612014	196052005	301612014	H4y2000	acute drug-induced interstitial lung disorders	1	1	0	0	1	0	0	0
3556351000006112	64936001	499986018	NA	acute eosinophilic pneumonia	1	1	0	0	0	0	0	1
5092491000006112	236302005	354232012	NA	acute interstitial pneumonia	1	1	0	0	0	0	0	1
99508014	59903001	99508014	H061100	acute obliterating bronchiolitis	1	1	0	0	0	0	0	1
4781761000006112	196021009	3290570015	NA	acute pneumonitis caused by chemical fumes	1	1	0	0	0	1	0	0
301567018	196021009	301567018	H460100	acute pneumonitis due to chemical fumes	1	1	0	0	0	1	0	0
4309871000006113	118614007	2535721010	NA	acute progressive histiocytosis x	1	1	0	0	0	0	0	1
301606016	196046009	301606016	H4y0.00	acute pulmonary radiation disease	1	1	0	0	1	0	0	0
301608015	196046009	301606016	H4y0z00	acute pulmonary radiation disease nos	1	1	0	0	1	0	0	0
301607013	196047000	301607013	H4y0000	acute radiation pneumonitis	1	1	0	0	1	0	0	0
3282211000006116	48347002	80551017	NA	air conditioner lung	1	1	0	0	0	1	0	0
301530014	195990006	301530014	H35y800	air-conditioner and humidifier lung	1	1	0	0	0	1	0	0
3103601000006113	37471005	189214016	NA	allergic alveolitis	1	1	0	0	0	1	0	0
301532018	37471005	178500017	H35zz00	allergic alveolitis and pneumonitis nos	1	1	0	0	0	1	0	0
477131000006116	37471005	178500017	H35z.00	allergic alveolitis and pneumonitis nos	1	1	0	0	0	1	0	0
301533011	37471005	178500017	H35z000	allergic extrinsic alveolitis nos	1	1	0	0	0	1	0	0
3103621000006115	37471005	189216019	NA	allergic interstitial pneumonitis	1	1	0	0	0	1	0	0
3103611000006111	37471005	189215015	NA	allergic pneumonitis	1	1	0	0	0	1	0	0
3972651000006110	90623003	509078012	NA	aluminium pneumoconiosis	1	1	0	0	0	1	0	0
150191018	90623003	150191018	H430.00	aluminosis of lung	1	1	0	0	0	1	0	0
3972641000006113	90623003	150194014	NA	aluminum pneumoconiosis	1	1	0	0	0	1	0	0
2914521000006112	25897000	43391015	NA	alveolitis due to aspergillus clavatus and/or fumigatus	1	1	0	0	0	1	0	0
2860331000006118	22607003	37942018	NA	amianthosis	1	1	0	0	0	1	0	0
2973061000006117	29422001	49233014	NA	anthracosis	1	1	0	0	0	1	0	0
3513731000006119	62371005	103667016	NA	arc-welders' disease	1	1	0	0	0	1	0	0
3513701000006110	62371005	103664011	NA	arc-welders' lung	1	1	0	0	0	1	0	0
3513751000006114	62371005	103669018	NA	arc-welders' nodulation	1	1	0	0	0	1	0	0
3513711000006113	62371005	103665012	NA	arc-welders' pneumoconiosis	1	1	0	0	0	1	0	0
2860341000006111	22607003	37943011	NA	asbestos pneumoconiosis	1	1	0	0	0	1	0	0
37941013	22607003	37941013	H41..00	asbestosis	1	1	0	0	0	1	0	0
301552017	22607003	37941013	H41z.00	asbestosis nos	1	1	0	0	0	1	0	0
3627681000006119	69339004	115189012	NA	avian protein hypersensitivity	1	1	0	0	0	1	0	0
378182015	65399007	108660017	PGyy.11	ayala's disease	1	1	0	0	0	0	0	1
3593701000006114	67242002	111724017	NA	bagasse disease	1	1	0	0	0	1	0	0
3593711000006112	67242002	111725016	NA	bagasse workers' disease	1	1	0	0	0	1	0	0
