medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	emiscodecategoryid	term	hes_ethnicity	Ethnicity6	EthnicityEngWales2011	EthnicityEngWales2021	EthnicityScot2011	EthnicityNI2011	EthnicityUK2011
1968501000006111	978171000000105	2487801000000118	9t29.00	22	bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011	Bangladesi	Asian	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi
937541000006115	92471000000103	141371000000119	9i9..00	22	bangladeshi or british bangladeshi - ethn categ 2001 census	Bangladesi	Asian	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi
1968321000006111	977731000000108	2486921000000119	9t18.00	22	asian/asian british: bangladeshi - ni ethnic cat 2011 census	Bangladesi	Asian	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi
1968151000006117	976831000000100	2485031000000111	9t0A.00	22	asian/asian brit: bangladeshi- eng+wales eth cat 2011 census	Bangladesi	Asian	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi
285956019	186003008	285956019	9S8..00	22	bangladeshi	Bangladesi	Asian	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi
196631000006117	186003008	285956019	134I.00	22	race: bangladeshi	Bangladesi	Asian	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi	Bangladeshi
550541000006110	33897005	56590016	9T1C.00	22	chinese	Chinese	Asian	Chinese	Chinese	Chinese	Chinese	Chinese
196651000006112	33897005	56590016	134D.00	22	race: chinese	Chinese	Asian	Chinese	Chinese	Chinese	Chinese	Chinese
56590016	33897005	56590016	9S9..00	22	chinese	Chinese	Asian	Chinese	Chinese	Chinese	Chinese	Chinese
1968331000006114	977751000000101	2486961000000110	9t19.00	22	asian/asian british: chinese - ni ethnic cat 2011 census	Chinese	Asian	Chinese	Chinese	Chinese	Chinese	Chinese
141401000000117	92511000000107	141401000000117	9iE..00	22	chinese - ethnic category 2001 census	Chinese	Asian	Chinese	Chinese	Chinese	Chinese	Chinese
