medcodeid	medcode	snomedctconceptid	snomedctdescriptionid	readcode	emiscodecategoryid	term	smoking_status	ever_smoker
1009271000006118	NA	1009271000006102	1009271000006118	NA	17	non smoker - nos	0	0
11904991000006116	NA	230059006	344797012	NA	17	occasional cigarette smoker	2	1
137711000006111	NA	137711000006107	137711000006111	NA	17	smoker (read codes)	2	1
137761000006114	NA	137761000006105	137761000006114	NA	17	smoking age ceased	1	1
1778181000006110	NA	1778181000006106	1778181000006110	NA	37	group session: stop smoking education programme	2	1
1819411000006114	NA	1819411000006105	1819411000006114	NA	17	smoking increased	2	1
1974421000006116	NA	1974421000006100	1974421000006116	NA	32	mental and behav dis due to use tobacco: dependence syndr, continuous use	2	1
2735181000000113	NA	1092031000000108	2735181000000113	NA	17	ex-smoker amount unknown	1	1
2735201000000112	NA	1092041000000104	2735201000000112	NA	17	ex-very heavy smoker (40+/day)	1	1
2735281000000119	NA	1092071000000105	2735281000000119	NA	17	ex-heavy smoker (20-39/day)	1	1
2735331000000112	NA	1092091000000109	2735331000000112	NA	17	ex-moderate smoker (10-19/day)	1	1
2735381000000111	NA	1092111000000104	2735381000000111	NA	17	ex-light smoker (1-9/day)	1	1
2735421000000119	NA	1092131000000107	2735421000000119	NA	17	ex-trivial smoker (<1/day)	1	1
3142921000006110	NA	39953003	66552013	NA	31	tobacco	2	1
3419101000006116	NA	56578002	94089011	NA	17	moderate smoker (20 or less per day)	2	1
3422221000006116	NA	56771006	94417014	NA	17	heavy smoker (over 20 per day)	2	1
3513199018	NA	735128000	3513199018	NA	17	ex-smoker for less than 1 year	1	1
37311000006117	NA	37311000006101	37311000006117	NA	1	other anti-smoking drug given	1	1
3959111000006111	NA	89765005	148820017	NA	32	tobacco dependence syndrome	2	1
4980561000006117	NA	228486009	342573017	NA	17	time since stopped smoking	1	1
5003151000006116	NA	230060001	344798019	NA	17	light cigarette smoker	2	1
5003161000006119	NA	230062009	344801013	NA	17	moderate cigarette smoker	2	1
5003171000006114	NA	230063004	344802018	NA	17	heavy cigarette smoker	2	1
5003181000006112	NA	230064005	344803011	NA	17	very heavy cigarette smoker	2	1
5003191000006110	NA	230065006	344804017	NA	17	chain smoker	2	1
5495921000006119	NA	266919005	397731016	NA	17	never smoked	0	0
5495941000006114	NA	266920004	397733018	NA	17	occasional smoker	2	1
5495951000006111	NA	266920004	397734012	NA	17	occasional cigarette smoker (less than one cigarette/day)	2	1
5496031000006112	NA	266928006	397744014	NA	17	ex-cigarette smoker amount unknown	1	1
604961000006114	NA	604961000006105	604961000006114	NA	17	current smoker nos	2	1
649851000006112	NA	649851000006108	649851000006112	NA	17	ex- rolled tobacco smoker	1	1
649861000006114	NA	649861000006105	649861000006114	NA	17	ex-cigarette smoker	1	1
6718071000006115	NA	405746006	2157522017	NA	31	current non smoker but past smoking history unknown	1	1
7368651000006119	NA	449345000	2901755018	NA	31	smoked before confirmation of pregnancy	1	1
7368961000006112	NA	449368009	2901763017	NA	31	stopped smoking during pregnancy	1	1
7368971000006117	NA	449369001	2901764011	NA	31	stopped smoking before pregnancy	1	1
7375991000006118	NA	449868002	2912728015	NA	17	smokes tobacco daily	2	1
7965041000006111	NA	221000119102	2916218010	NA	17	never smoked any substance	0	0
8017571000006117	NA	48031000119106	3047429015	NA	17	ex-smoker for more than 1 year	1	1
8063181000006116	NA	203191000000107	310341000000119	NA	17	wants to stop smoking	2	1
8153371000006117	NA	428041000124106	3308893017	NA	17	occasional tobacco smoker	2	1
8299271000006119	NA	864091000000103	2234141000000111	NA	31	number of previous attempts to stop smoking	2	1
852111000006118	NA	852111000006102	852111000006118	NA	17	gradual smoking reduction	2	1
852981000006111	NA	852981000006107	852981000006111	NA	17	rolls own cigarettes	2	1
853001000006110	NA	853001000006106	853001000006110	NA	17	ex-smoker nos	1	1
854021000006115	NA	854021000006104	854021000006115	NA	17	cigarette smoker	2	1
854051000006112	NA	854051000006108	854051000006112	NA	17	ex-pipe smoker	1	1
854071000006119	NA	854071000006103	854071000006119	NA	17	current smoker	2	1
854111000006110	NA	854111000006106	854111000006110	NA	17	past smoker	1	1
854151000006111	NA	854151000006107	854151000006111	NA	17	date stopped smoking	1	1
854951000006113	NA	854951000006109	854951000006113	NA	3	grade a non-smoker	0	0
854961000006110	NA	854961000006106	854961000006110	NA	3	grade b light smoker (1-10/day)	2	1
854981000006117	NA	854981000006101	854981000006117	NA	3	grade c moderate smoker (11-20/day)	2	1
855001000006114	NA	855001000006105	855001000006114	NA	3	grade d heavy smoker (>20 day)	2	1
856371000006111	NA	856371000006107	856371000006111	NA	17	smoking clinic	2	1
903981000006117	NA	903981000006101	903981000006117	NA	17	not interested in stopping smoking	2	1
904001000006111	NA	904001000006107	904001000006111	NA	17	ready to stop smoking	2	1
904021000006118	NA	904021000006102	904021000006118	NA	17	previous smoking quit attempts	2	1
904041000006113	NA	904041000006109	904041000006113	NA	17	waking time to first cigarette	2	1
904091000006116	NA	904091000006100	904091000006116	NA	17	date of last cigarette	1	1
904111000006113	NA	904111000006109	904111000006113	NA	20	carbon monoxide validation confirms non-smoker	1	1
904121000006117	NA	904121000006101	904121000006117	NA	20	carbon monoxide validation confirms smoker	2	1
961581000006114	NA	961581000006105	961581000006114	NA	27	smokes/uses tobacco products	2	1
11918491000006118	NA	470041000000100	894821000000111	NA	31	[x]mental and behavioural disorders due to use of tobacco: harmful use	2	1
4533531000006119	NA	160613002	4533531000006119	NA	17	admitted tobacco consumption possibly untrue	2	1
852991000006114	NA	852991000006105	852991000006114	NA	17	ex-cigar smoker	1	1
12490251000006112	NA	1221000119103	2966944018	NA	31	history of tobacco use	1	1
8153381000006119	NA	428041000124106	8153381000006119	NA	17	occasional smoker	2	1
904031000006115	NA	904031000006104	904031000006115	NA	17	thinking about stopping smoking	2	1
3430571000006116	NA	57264008	95243015	NA	31	tobacco	2	1
4180321000006116	NA	110483000	4180321000006116	NA	32	tobacco user	2	1
12461621000006112	NA	365980008	349511000006119	NA	31	[v]tobacco use	2	1
11913031000006119	NA	399791000000101	892051000000118	NA	31	[v]tobacco use	2	1
102921000006112	54	266918002	397730015	137..00	17	tobacco smoking consumption	2	1
137721000006115	12942	266918002	397730015	137..11	17	smoker - amount smoked	2	1
397732011	33	266919005	397732011	1371.00	17	never smoked tobacco	0	0
14866014	11788	8392000	14866014	1371.11	17	non-smoker	0	0
88471000006112	12958	266920004	397735013	1372.00	17	trivial cigarette smoker (less than one cigarette/day)	2	1
397733018	12941	428041000124106	2717161000000119	1372.11	17	occasional smoker	2	1
743331000006116	12944	160603005	250358015	1373.00	17	light cigarette smoker (1-9 cigs/day)	2	1
700121000006118	1878	160604004	250359011	1374.00	17	moderate cigarette smoker (10-19 cigs/day)	2	1
819331000006110	3568	160605003	250360018	1375.00	17	heavy cigarette smoker (20-39 cigs/day)	2	1
67621000006112	1822	160606002	250362014	1376.00	17	very heavy cigarette smoker (40+ cigs/day)	2	1
250363016	12961	266921000	397736014	1377.00	17	ex-trivial cigarette smoker (<1/day)	1	1
250364010	12957	266922007	397737017	1378.00	17	ex-light cigarette smoker (1-9/day)	1	1
250365011	12955	266923002	397738010	1379.00	17	ex-moderate cigarette smoker (10-19/day)	1	1
250366012	12956	266924008	397739019	137A.00	17	ex-heavy cigarette smoker (20-39/day)	1	1
250367015	12959	266925009	397740017	137B.00	17	ex-very heavy cigarette smoker (40+/day)	1	1
250368013	12964	160612007	250368013	137C.00	17	keeps trying to stop smoking	2	1
250369017	46654	160613002	2791864017	137D.00	17	admitted tobacco consumption possibly untrue	2	1
250371017	12946	8517006	15047015	137F.00	17	ex-smoker - amount unknown	1	1
903041000006110	NA	266928006	903041000006110	137F.99	17	ex-smoker nos	1	1
250372012	12240	160616005	250372012	137G.00	17	trying to give up smoking	2	1
136515019	12947	82302008	136515019	137H.00	17	pipe smoker	2	1
99639019	12943	59978006	99639019	137J.00	17	cigar smoker	2	1
250373019	776	160617001	250373019	137K.00	17	stopped smoking	1	1
1151791000000117	99838	517211000000106	1151791000000117	137K000	17	recently stopped smoking	1	1
250374013	60	160618006	250374013	137L.00	17	current non-smoker	1	1
903051000006112	NA	160618006	903051000006112	137L.99	17	tobacco consumption nil	1	1
250375014	12945	160619003	250375014	137M.00	17	rolls own cigarettes	2	1
649831000006117	26470	160620009	250376010	137N.00	17	ex-pipe smoker	1	1
649821000006115	19488	160621008	250377018	137O.00	17	ex-cigar smoker	1	1
108938018	93	65568007	108938018	137P.00	17	cigarette smoker	2	1
128130017	1823	77176002	128130017	137P.11	17	smoker	2	1
2669652019	12952	266929003	2669652019	137Q.00	17	smoking started	2	1
137791000006118	12951	308438006	2670126018	137Q.11	17	smoking restarted	2	1
